channel,total_spend,total_contribution,roas
meta_facebook,928447.12,3893705.9564406415,4.194
meta_instagram,745782.05,1849169.460370042,2.48
google_pmax,674940.1999999998,2561426.400734944,3.795
google_paid_search,232124.71,3529680.732266124,15.206
google_shopping,70051.63,574162.1122969283,8.196
tiktok,8788.07,18034.618744076255,2.052
google_display,600.88,7844.80600688527,13.056
google_video,300.36999999999995,9402.527414394111,31.303
meta_other,136.51000000000002,49805.60504819958,364.849
