channel,total_contribution,share_pct
meta_facebook,3893705.9564406415,31.2
google_paid_search,3529680.732266124,28.3
google_pmax,2561426.400734944,20.5
meta_instagram,1849169.460370042,14.8
google_shopping,574162.1122969283,4.6
meta_other,49805.60504819958,0.4
tiktok,18034.618744076255,0.1
google_video,9402.527414394111,0.1
google_display,7844.80600688527,0.1
